Symbol,Description,Local Symbol,IPO Date,Category1,Category2,Category3,GICS Sector,ISIN,SEDOL,Market Cap,Currency,Actions
TT:2330,Taiwan Semiconductor Manufacturing Company Limited,2330,1/5/2000,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002330008,6889106,"16,621,130,219,520",TWD,Analyze
TT:2454,MediaTek Inc,2454,7/25/2001,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002454006,6372480,"1,702,327,222,272",TWD,Analyze
TT:2317,"Hon Hai Precision Industry Co., Ltd",2317,1/3/2000,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002317005,6438564,"1,413,873,008,640",TWD,Analyze
TT:6505,Formosa Petrochemical Corporation,6505,12/29/2003,Global Equity,Common stocks,Emerging markets,Energy,TW0006505001,6718716,"921,160,253,440",TWD,Analyze
TT:2412,"Chunghwa Telecom Co., Ltd",2412,11/16/2000,Global Equity,Common stocks,Emerging markets,Communication Services,TW0002412004,6287841,"907,621,695,488",TWD,Analyze
TT:2881,"Fubon Financial Holding Co., Ltd",2881,12/21/2001,Global Equity,Common stocks,Emerging markets,Financials,TW0002881000,6411673,"903,748,386,816",TWD,Analyze
TT:2882,"Cathay Financial Holding Co., Ltd",2882,1/5/2000,Global Equity,Common stocks,Emerging markets,Financials,TW0002882008,6425663,"848,096,526,336",TWD,Analyze
TT:2303,United Microelectronics Corporation,2303,1/5/2000,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002303005,6916628,"777,350,938,624",TWD,Analyze
TT:2308,"Delta Electronics, Inc",2308,2/22/2018,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002308004,6260734,"710,427,213,824",TWD,Analyze
TT:1303,Nan Ya Plastics Corporation,1303,1/5/2000,Global Equity,Common stocks,Emerging markets,Materials,TW0001303006,6621580,"685,222,854,656",TWD,Analyze
TT:2603,Evergreen Marine Corporation (Taiwan) Ltd,2603,1/5/2000,Global Equity,Common stocks,Emerging markets,Industrials,TW0002603008,6324500,"677,228,773,376",TWD,Analyze
TT:1301,Formosa Plastics Corporation,1301,1/5/2000,Global Equity,Common stocks,Emerging markets,Materials,TW0001301000,6348544,"668,402,712,576",TWD,Analyze
TT:2891,"CTBC Financial Holding Co., Ltd",2891,5/20/2002,Global Equity,Common stocks,Emerging markets,Financials,TW0002891009,6527666,"541,041,786,880",TWD,Analyze
TT:2002,China Steel Corp,2002,1/5/2000,Global Equity,Common stocks,Emerging markets,Materials,TW0002002003,6190950,"535,310,401,536",TWD,Analyze
TT:2886,Mega Financial Holding Company Ltd,2886,1/5/2000,Global Equity,Common stocks,Emerging markets,Financials,TW0002886009,6444066,"501,152,612,352",TWD,Analyze
TT:1326,Formosa Chemicals & Fibre Corporation,1326,1/5/2000,Global Equity,Common stocks,Emerging markets,Materials,TW0001326007,6348715,"463,242,362,880",TWD,Analyze
TT:3711,"ASE Technology Holding Co., Ltd",3711,1/4/2000,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003711008,BFXZDY1,"433,599,905,792",TWD,Analyze
TT:1216,Uni-President Enterprises Corp,1216,1/5/2000,Global Equity,Common stocks,Emerging markets,Consumer Staples,TW0001216000,6700393,"388,081,975,296",TWD,Analyze
TT:2884,"E.SUN Financial Holding Company, Ltd",2884,1/30/2002,Global Equity,Common stocks,Emerging markets,Financials,TW0002884004,6433912,"387,951,132,672",TWD,Analyze
TT:2615,Wan Hai Lines Ltd,2615,1/5/2000,Global Equity,Common stocks,Emerging markets,Industrials,TW0002615002,6932334,"379,440,234,496",TWD,Analyze
TT:2311,"Advanced Semiconductor Engineering, Inc",2311,1/5/2000,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002311008,6056074,"377,927,368,704",TWD,Analyze
